"#","RefDes","Qty","Manufacturer","Name","Value","Alternate","Pattern","Mount","Side","Description"
"1","C1","1","Samsung","CL10A475KP8NNNC","4.7uF","","CAP_0603","","",""
"2","J1","1","CnCTech","CnCTech 3220-10-0300-00-TR","","","CnCTech 3220-10-0300-00-TR","","",""
"3","J2","1","TE Connectivity","644456-3","","","HDR-1x3T/2.54/7x2","TH","",""
"4","J3","1","TE Connectivity","644456-3","","","HDR-1x3T/2.54/7x2","TH","",""
"5","J4","1","TE Connectivity","644456-3","","","HDR-1x3T/2.54/7x2","TH","",""
"6","J5","1","TE Connectivity","MTC.2 1-2199230-6 (N9151)","","","TE_1-2199230-6","","","
67 Position Female Connector M.2 (NGFF) Mini Card Gold 0.020 (0.50mm) Black
"
"7","J6","1","","","","","HDR-2x15T/2.54x2.54/38x5","TH","",""
"8","J7","1","","","","","HDR-2x22T/2.54x2.54/56x5","TH","",""
"9","JP1","1","","CircJumper-2","","","Circ-Jumper-2","TR","",""
"10","JP2","1","","CircJumper-2","","","Circ-Jumper-2","TR","",""
"11","LG1","1","PCB","LooUQ Logo","","","LooUQ-6mm","SLK","","LooUQ logo silk"
"12","MH1","1","Wurth","9774025151R","","","m.2 standoff","","",""
"13","R1","1","Stackpole","RNCP0603FTD10K0","10K","","RES_0603","","",""
"14","R2","1","Walsin Technology","WR06X3300FTL","330R","","RES_0603","","",""
"15","R10","1","Stackpole","RNCP0603FTD10K0","10K","","RES_0603","","","RES 10K OHM 1% 1/8W 0603"
"16","SW1","1","C&K","KMR221GLFS","","","KMR-2-wG","","","Tactile Switch SPST-NO Top Actuated Surface Mount, GndPin, 300gf"
